clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
719859033,Attrited Customer,32,Male,3,Graduate,Married,$40k - $60k,Blue,20,2,2,2,3264.00,0.00,3264.00,0.55,6439.00,63.00,0.75,0.00
708399858,Existing Customer,45,Female,3,High School,Married,Less Than $40k,Blue,35,2,2,1,2548.00,2250.00,298.00,0.58,4747.00,77.00,0.79,0.88
708229308,Attrited Customer,49,Female,2,Unknown,Married,Less Than $40k,Blue,41,5,2,2,3243.00,0.00,3243.00,0.69,6059.00,71.00,0.82,0.00
721398858,Existing Customer,43,Male,2,Unknown,Single,$120k +,Blue,34,5,3,4,33913.00,0.00,33913.00,0.90,4160.00,76.00,0.90,0.00
710528583,Existing Customer,26,Female,0,Unknown,Single,$40k - $60k,Blue,16,6,2,4,1612.00,835.00,777.00,0.59,2148.00,40.00,0.38,0.52
714361083,Attrited Customer,40,Female,2,College,Single,Less Than $40k,Blue,36,4,2,3,5989.00,0.00,5989.00,0.31,5843.00,60.00,0.18,0.00
720905133,Attrited Customer,43,Male,3,Graduate,Unknown,$80k - $120k,Blue,29,1,2,6,11422.00,1095.00,10327.00,0.77,2439.00,45.00,0.80,0.10
716575758,Attrited Customer,50,Female,2,College,Unknown,Unknown,Blue,39,2,3,2,1438.30,0.00,1438.30,0.59,1859.00,41.00,0.46,0.00
709646433,Attrited Customer,59,Female,1,High School,Married,Less Than $40k,Blue,50,1,4,3,5043.00,743.00,4300.00,0.81,10170.00,66.00,0.78,0.15
717494358,Existing Customer,58,Female,0,Graduate,Single,Less Than $40k,Blue,48,2,2,5,4299.00,1334.00,2965.00,0.66,15068.00,123.00,0.69,0.31
709730508,Existing Customer,39,Female,0,High School,Single,Unknown,Blue,27,6,3,3,17531.00,0.00,17531.00,0.80,4563.00,61.00,0.74,0.00
738627708,Attrited Customer,49,Female,2,Unknown,Single,Unknown,Blue,41,5,3,4,5984.00,0.00,5984.00,0.55,1838.00,42.00,0.56,0.00
721181883,Existing Customer,30,Female,0,College,Single,Unknown,Blue,18,4,2,3,9641.00,0.00,9641.00,0.91,4710.00,75.00,0.67,0.00
710820783,Existing Customer,45,Female,4,Graduate,Married,Unknown,Blue,36,6,1,2,5989.00,0.00,5989.00,0.67,4246.00,78.00,0.86,0.00
720634683,Attrited Customer,48,Female,2,College,Married,Unknown,Blue,37,5,2,4,2220.00,0.00,2220.00,0.74,2456.00,45.00,0.45,0.00
720313083,Existing Customer,32,Male,1,Unknown,Single,$120k +,Blue,18,5,3,2,6276.00,2289.00,3987.00,0.64,2637.00,68.00,0.39,0.37
716453883,Existing Customer,47,Male,5,Unknown,Single,$120k +,Blue,39,6,3,1,3889.00,1839.00,2050.00,0.91,4423.00,63.00,0.70,0.47
715537383,Existing Customer,46,Male,3,College,Single,$120k +,Blue,30,5,1,2,27378.00,1893.00,25485.00,0.43,3934.00,78.00,0.59,0.07
711556533,Existing Customer,43,Female,1,Graduate,Unknown,Unknown,Blue,36,6,3,3,9851.00,0.00,9851.00,1.03,1212.00,24.00,0.60,0.00
711540108,Attrited Customer,44,Female,4,Doctorate,Unknown,Unknown,Blue,33,5,3,6,1438.30,0.00,1438.30,0.68,2316.00,48.00,0.50,0.00
788246958,Existing Customer,44,Female,2,Graduate,Married,Unknown,Blue,36,3,1,2,6038.00,0.00,6038.00,0.67,4375.00,81.00,0.69,0.00
